SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH2595806.08FU_MN130956_reps,Glomerales,Glomerales,0.949,1
SH1189502.08FU_GQ205097_refs,Glomerales,Glomerales,0.627,1
SH2605162.08FU_UDB0582717_reps,Glomerales,Glomerales,0.308,1
SH1151679.08FU_KP756603_reps,Glomerales,Glomerales,0.72,1
SH1176769.08FU_HM570010_reps,Glomerales,Glomerales,0.992,1
SH1215370.08FU_HM159461_reps,Glomerales,Glomerales,0.984,1
SH1174366.08FU_JN195673_reps,Glomerales,Glomerales,0.967,1
SH2594087.08FU_MT765657_reps,Glomerales,Glomerales,0.545,1
SH1168315.08FU_UDB0513959_reps,Glomerales,NA,0,0
SH1189722.08FU_MG183937_reps,Glomerales,Glomerales,0.981,1
SH1160107.08FU_JX096570_reps,Glomerales,Glomerales,0.473,1
SH1182362.08FU_AY997053_refs,Glomerales,Glomerales,0.991,1
SH1169243.08FU_KP756524_reps,Glomerales,Glomerales,0.964,1
SH1179598.08FU_KF939980_reps,Glomerales,Glomerales,0.687,1
SH1215353.08FU_JN195579_reps,Glomerales,Glomerales,0.983,1
SH1160115.08FU_MN735750_reps,Glomerales,Glomerales,0.965,1
SH1175744.08FU_KJ564156_reps,Glomerales,Glomerales,0.72,1
SH1182648.08FU_AJ518847_reps,Glomerales,Glomerales,0.988,1
SH1160097.08FU_UDB0185599_reps,Glomerales,NA,0,0
SH1182658.08FU_AY236275_reps,Glomerales,Glomerales,0.91,1
SH1182372.08FU_GQ205086_reps,Glomerales,Glomerales,0.942,1
SH1174423.08FU_AY236250_reps,Glomerales,Glomerales,0.72,1
SH1174408.08FU_JX276884_reps,Glomerales,Glomerales,0.966,1
SH1175356.08FU_AJ972457_reps,Glomerales,Glomerales,0.72,1
SH1182554.08FU_AJ518854_reps,Glomerales,Glomerales,0.72,1
SH1177692.08FU_JN195554_reps,Glomerales,Glomerales,0.72,1
SH1182356.08FU_AF161062_reps,Glomerales,Glomerales,0.72,1
SH1182359.08FU_GQ205087_refs,Glomerales,Glomerales,0.984,1
SH1176790.08FU_UDB0154708_reps,Glomerales,Glomerales,0.696,1
SH1189653.08FU_JN194569_reps,Glomerales,Glomerales,0.988,1
SH1189510.08FU_UDB0381253_reps,Glomerales,NA,0,0
SH1142684.08FU_KP756532_reps,Glomerales,Glomerales,0.72,1
SH2592282.08FU_LC379022_reps,Glomerales,Glomerales,0.72,1
SH1177690.08FU_KY362436_reps,Glomerales,Glomerales,0.72,1
SH1175745.08FU_UDB0532003_reps,Glomerales,Glomerales,0.694,1
SH1158897.08FU_AJ972467_refs,Glomerales,Glomerales,0.834,1
SH1169239.08FU_JN195702_reps,Glomerales,Glomerales,0.982,1
SH1142544.08FU_JN195692_reps,Glomerales,Glomerales,0.968,1
SH1189708.08FU_UDB0154552_reps,Glomerales,Glomerales,0.988,1
SH1175756.08FU_JX096591_reps,Glomerales,Glomerales,0.865,1
SH1189511.08FU_AY236323_reps,Glomerales,NA,0,0
SH2592899.08FU_MK418527_reps,Glomerales,Glomerales,0.72,1
SH1182656.08FU_JX042775_reps,Glomerales,Glomerales,0.986,1
SH2615344.08FU_UDB0512801_reps,Glomerales,Glomerales,0.274,1
SH1189646.08FU_MG836658_reps,Glomerales,Glomerales,0.992,1
SH1151886.08FU_KY555053_reps,Glomerales,Glomerales,0.72,1
SH1178618.08FU_AJ239123_reps,Glomerales,Glomerales,0.914,1
SH1169233.08FU_UDB0622194_reps,Glomerales,Glomerales,0.962,1
SH1189658.08FU_FM865604_refs,Glomerales,Glomerales,0.964,1
SH1191153.08FU_FM253382_reps,Glomerales,Glomerales,0.72,1
SH1182652.08FU_AJ518863_reps,Glomerales,Glomerales,0.969,1
SH1174538.08FU_LS479913_reps,Glomerales,Glomerales,0.72,1
SH1153835.08FU_AM495198_reps,Glomerales,Glomerales,0.83,1
SH2617547.08FU_UDB0620988_reps,Glomerales,NA,0,0
SH1169270.08FU_UDB0741610_reps,Glomerales,Glomerales,0.541,1
SH1174389.08FU_GQ388302_reps,Glomerales,Glomerales,0.962,1
SH1174311.08FU_AJ716319_reps,Glomerales,Glomerales,0.72,1
SH1172210.08FU_JN195677_reps,Glomerales,Glomerales,0.861,1
SH2592279.08FU_LC379047_reps,Glomerales,Glomerales,0.72,1
SH2610175.08FU_UDB0567859_reps,Glomerales,Glomerales,0.359,1
SH1215358.08FU_JN195582_reps,Glomerales,Glomerales,0.981,1
SH1174418.08FU_JQ218218_reps,Glomerales,Glomerales,0.72,1
SH1182349.08FU_FM876794_refs,Glomerales,Glomerales,0.975,1
SH1189680.08FU_KF836937_reps,Glomerales,Glomerales,0.985,1
SH2606765.08FU_UDB0248922_reps,Glomerales,Glomerales,0.68,1
SH1168491.08FU_MN735724_reps,Glomerales,Glomerales,0.947,1
SH1181780.08FU_KP235753_reps,Glomerales,Glomerales,0.72,1
SH1177688.08FU_JN195569_reps,Glomerales,Glomerales,0.72,1
SH1189630.08FU_EU359122_reps,Glomerales,Glomerales,0.992,1
SH1177689.08FU_JF276274_reps,Glomerales,Glomerales,0.72,1
SH2592900.08FU_MK418519_reps,Glomerales,Glomerales,0.965,1
SH1189083.08FU_KP756596_reps,Glomerales,Glomerales,0.72,1
SH1153928.08FU_HG970662_reps,Glomerales,Glomerales,0.957,1
SH3567321.08FU_MT765474_reps,Glomerales,Glomerales,0.407,1
SH3567535.08FU_MK875629_reps,Glomerales,NA,0,0
SH1189507.08FU_KP191478_reps,Glomerales,NA,0,0
