SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH1189502.08FU_GQ205097_refs,Glomerales,Glomerales,0.627,1
SH1168485.08FU_AM384913_reps,Glomerales,Glomerales,0.72,1
SH1182559.08FU_UDB0604165_reps,Glomerales,Glomerales,0.453,1
SH1215370.08FU_HM159461_reps,Glomerales,Glomerales,0.984,1
SH2607809.08FU_UDB0259249_reps,Glomerales,NA,0.0,0
SH1174370.08FU_UDB0565395_reps,Glomerales,Glomerales,0.972,1
SH1160107.08FU_JX096570_reps,Glomerales,Glomerales,0.473,1
SH1177680.08FU_HQ857201_reps,Glomerales,Glomerales,0.72,1
SH1153917.08FU_KF060328_reps,Glomerales,Glomerales,0.72,1
SH1179598.08FU_KF939980_reps,Glomerales,Glomerales,0.687,1
SH2613580.08FU_UDB0414371_reps,Glomerales,Glomerales,0.873,1
SH1189513.08FU_AF004680_reps,Glomerales,Glomerales,0.524,1
SH1169241.08FU_AJ716313_refs,Glomerales,Glomerales,0.742,1
SH1182372.08FU_GQ205086_reps,Glomerales,Glomerales,0.942,1
SH1175354.08FU_AJ972463_refs,Glomerales,Glomerales,0.72,1
SH1182642.08FU_GQ388385_reps,Glomerales,Glomerales,0.959,1
SH1174390.08FU_AY236259_reps,Glomerales,Glomerales,0.919,1
SH1174387.08FU_GQ388584_reps,Glomerales,Glomerales,0.985,1
SH1174401.08FU_UDB0260639_reps,Glomerales,Glomerales,0.97,1
SH1182681.08FU_GQ388524_reps,Glomerales,Glomerales,0.96,1
SH1189686.08FU_KM041908_reps,Glomerales,Glomerales,0.72,1
SH1175749.08FU_JX096608_reps,Glomerales,Glomerales,0.72,1
SH1169244.08FU_MF589996_reps,Glomerales,Glomerales,0.993,1
SH1189510.08FU_UDB0381253_reps,Glomerales,NA,0.0,0
SH1175748.08FU_HM162333_reps,Glomerales,Glomerales,0.72,1
SH2612607.08FU_MT765710_reps,Glomerales,NA,0.0,0
SH1182570.08FU_UDB0623667_reps,Glomerales,Glomerales,0.866,1
SH3566868.08FU_MT210908_reps,Glomerales,Glomerales,0.987,1
SH1175745.08FU_UDB0532003_reps,Glomerales,Glomerales,0.694,1
SH1182553.08FU_UDB0606629_reps,Glomerales,Glomerales,0.645,1
SH1189742.08FU_KM042014_reps,Glomerales,Glomerales,0.717,1
SH1177686.08FU_JX276903_reps,Glomerales,Glomerales,0.72,1
SH1175355.08FU_HF674813_reps,Glomerales,Glomerales,0.736,1
SH1174367.08FU_GQ388314_reps,Glomerales,Glomerales,0.994,1
SH1215357.08FU_AY236238_reps,Glomerales,Glomerales,0.948,1
SH1182656.08FU_JX042775_reps,Glomerales,Glomerales,0.986,1
SH1238410.08FU_GQ205075_refs,Glomerales,Glomerales,0.738,1
SH1215356.08FU_UDB0154461_reps,Glomerales,Glomerales,0.976,1
SH1189089.08FU_UDB014818_reps,Glomerales,Glomerales,0.561,1
