SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH2588624.08FU_JQ218222_reps,Glomerales,Glomerales,0.72,1
SH1189677.08FU_FR693707_reps,Glomerales,Glomerales,0.97,1
SH1184231.08FU_HM570018_reps,Glomerales,Glomerales,0.897,1
SH1182593.08FU_GQ388343_reps,Glomerales,Glomerales,0.908,1
SH3566199.08FU_MK903007_reps,Glomerales,NA,0.0,0
SH1189678.08FU_KM041965_reps,Glomerales,Glomerales,0.96,1
SH2595807.08FU_MN130952_reps,Glomerales,Glomerales,0.956,1
SH2607514.08FU_UDB0260007_reps,Glomerales,NA,0.0,0
SH1153933.08FU_UDB0445397_reps,Glomerales,NA,0.0,0
SH1182352.08FU_JX096597_reps,Glomerales,Glomerales,0.972,1
SH1182559.08FU_UDB0604165_reps,Glomerales,Glomerales,0.453,1
SH1179597.08FU_KF939988_reps,Glomerales,NA,0.0,0
SH1174370.08FU_UDB0565395_reps,Glomerales,Glomerales,0.972,1
SH1189673.08FU_KF154764_reps,Glomerales,Glomerales,0.953,1
SH1153917.08FU_KF060328_reps,Glomerales,Glomerales,0.72,1
SH1182362.08FU_AY997053_refs,Glomerales,Glomerales,0.991,1
SH2613351.08FU_UDB0600114_reps,Glomerales,NA,0.0,0
SH1179598.08FU_KF939980_reps,Glomerales,Glomerales,0.687,1
SH2613580.08FU_UDB0414371_reps,Glomerales,Glomerales,0.873,1
SH1168487.08FU_AM384920_reps,Glomerales,Glomerales,0.72,1
SH1189506.08FU_UDB0146126_reps,Glomerales,NA,0.0,0
SH1172209.08FU_JF439187_reps,Glomerales,Glomerales,0.72,1
SH1175744.08FU_KJ564156_reps,Glomerales,Glomerales,0.72,1
SH1182679.08FU_GQ388595_reps,Glomerales,Glomerales,0.992,1
SH1186217.08FU_MN735717_reps,Glomerales,Glomerales,0.622,1
SH1174387.08FU_GQ388584_reps,Glomerales,Glomerales,0.985,1
SH1189574.08FU_DQ294955_reps,Glomerales,Glomerales,0.612,1
SH1174401.08FU_UDB0260639_reps,Glomerales,Glomerales,0.97,1
SH1160488.08FU_JF692726_refs,Glomerales,Glomerales,0.72,1
SH1174384.08FU_JX042780_reps,Glomerales,Glomerales,0.96,1
SH1182356.08FU_AF161062_reps,Glomerales,Glomerales,0.72,1
SH1176791.08FU_KF849633_reps,Glomerales,Glomerales,0.72,1
SH1189653.08FU_JN194569_reps,Glomerales,Glomerales,0.988,1
SH1189510.08FU_UDB0381253_reps,Glomerales,NA,0.0,0
SH1142684.08FU_KP756532_reps,Glomerales,Glomerales,0.72,1
SH1189659.08FU_JN195441_reps,Glomerales,Glomerales,0.94,1
SH3566868.08FU_MT210908_reps,Glomerales,Glomerales,0.987,1
SH1184229.08FU_AM980857_reps,Glomerales,Glomerales,0.72,1
SH1189084.08FU_MF542270_reps,Glomerales,Glomerales,0.72,1
