SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH1236196.08FU_HE775337_reps,Glomerales,Glomerales,0.72,1
SH1189677.08FU_FR693707_reps,Glomerales,Glomerales,0.97,1
SH1189678.08FU_KM041965_reps,Glomerales,Glomerales,0.96,1
SH2607514.08FU_UDB0260007_reps,Glomerales,NA,0.0,0
SH1160095.08FU_EF558837_reps,Glomerales,NA,0.0,0
SH1153933.08FU_UDB0445397_reps,Glomerales,NA,0.0,0
SH1168485.08FU_AM384913_reps,Glomerales,Glomerales,0.72,1
SH1182352.08FU_JX096597_reps,Glomerales,Glomerales,0.972,1
SH1189683.08FU_FJ588515_reps,Glomerales,Glomerales,0.992,1
SH1179597.08FU_KF939988_reps,Glomerales,NA,0.0,0
SH1215370.08FU_HM159461_reps,Glomerales,Glomerales,0.984,1
SH2607809.08FU_UDB0259249_reps,Glomerales,NA,0.0,0
SH1189682.08FU_GQ205044_refs,Glomerales,Glomerales,0.993,1
SH1174388.08FU_GQ388510_reps,Glomerales,Glomerales,0.983,1
SH1189512.08FU_HE775374_reps,Glomerales,Glomerales,0.463,1
SH1160107.08FU_JX096570_reps,Glomerales,Glomerales,0.473,1
SH1182362.08FU_AY997053_refs,Glomerales,Glomerales,0.991,1
SH1175752.08FU_AY236265_reps,Glomerales,Glomerales,0.893,1
SH1179598.08FU_KF939980_reps,Glomerales,Glomerales,0.687,1
SH1158898.08FU_HF970253_reps,Glomerales,Glomerales,0.836,1
SH1172209.08FU_JF439187_reps,Glomerales,Glomerales,0.72,1
SH1175744.08FU_KJ564156_reps,Glomerales,Glomerales,0.72,1
SH1153925.08FU_JF439176_refs,Glomerales,Glomerales,0.72,1
SH1177352.08FU_AM384970_reps,Glomerales,Glomerales,0.72,1
SH1169241.08FU_AJ716313_refs,Glomerales,Glomerales,0.742,1
SH1175354.08FU_AJ972463_refs,Glomerales,Glomerales,0.72,1
SH1189671.08FU_JN847442_reps,Glomerales,Glomerales,0.72,1
SH1186217.08FU_MN735717_reps,Glomerales,Glomerales,0.622,1
SH2606959.08FU_UDB0622200_reps,Glomerales,Glomerales,0.34,1
SH1174390.08FU_AY236259_reps,Glomerales,Glomerales,0.919,1
SH1174387.08FU_GQ388584_reps,Glomerales,Glomerales,0.985,1
SH1174408.08FU_JX276884_reps,Glomerales,Glomerales,0.966,1
SH1182650.08FU_GQ388601_reps,Glomerales,Glomerales,0.977,1
SH1160488.08FU_JF692726_refs,Glomerales,Glomerales,0.72,1
SH1174386.08FU_FN397385_reps,Glomerales,Glomerales,0.949,1
SH1182356.08FU_AF161062_reps,Glomerales,Glomerales,0.72,1
SH1182359.08FU_GQ205087_refs,Glomerales,Glomerales,0.984,1
SH1189669.08FU_FR693684_reps,Glomerales,Glomerales,0.987,1
SH1182355.08FU_AM992850_reps,Glomerales,Glomerales,0.973,1
SH1175749.08FU_JX096608_reps,Glomerales,Glomerales,0.72,1
SH1169244.08FU_MF589996_reps,Glomerales,Glomerales,0.993,1
SH1189510.08FU_UDB0381253_reps,Glomerales,NA,0.0,0
SH1142684.08FU_KP756532_reps,Glomerales,Glomerales,0.72,1
SH2616399.08FU_LR723643_reps,Glomerales,Glomerales,0.939,1
SH1189085.08FU_KP756483_reps,Glomerales,Glomerales,0.72,1
SH1189659.08FU_JN195441_reps,Glomerales,Glomerales,0.94,1
SH1189665.08FU_FJ008665_reps,Glomerales,Glomerales,0.985,1
SH1175745.08FU_UDB0532003_reps,Glomerales,Glomerales,0.694,1
SH1158897.08FU_AJ972467_refs,Glomerales,Glomerales,0.834,1
SH2603001.08FU_UDB0392470_reps,Glomerales,Glomerales,0.877,1
SH1158803.08FU_JN194528_reps,Glomerales,Glomerales,0.958,1
SH1189742.08FU_KM042014_reps,Glomerales,Glomerales,0.717,1
SH1189756.08FU_FJ362310_reps,Glomerales,Glomerales,0.985,1
SH1236197.08FU_MT765667_reps,Glomerales,Glomerales,0.676,1
SH1245296.08FU_MN735743_reps,Glomerales,Glomerales,0.72,1
SH1177686.08FU_JX276903_reps,Glomerales,Glomerales,0.72,1
SH1174371.08FU_HG425910_reps,Glomerales,Glomerales,0.986,1
SH1182577.08FU_FJ808955_reps,Glomerales,Glomerales,0.993,1
SH1238849.08FU_KM041745_reps,Glomerales,Glomerales,0.981,1
SH1189089.08FU_UDB014818_reps,Glomerales,Glomerales,0.561,1
SH1142543.08FU_AM495167_reps,Glomerales,Glomerales,0.72,1
SH1189573.08FU_FN423697_refs,Glomerales,Glomerales,0.745,1
SH1189762.08FU_KM041972_reps,Glomerales,Glomerales,0.992,1
SH1192146.08FU_JN194497_reps,Glomerales,Glomerales,0.72,1
SH1175750.08FU_KJ484726_reps,Glomerales,Glomerales,0.98,1
SH1153924.08FU_KU878880_reps,Glomerales,Glomerales,0.924,1
SH1172210.08FU_JN195677_reps,Glomerales,Glomerales,0.861,1
SH1160106.08FU_UDB0544495_reps,Glomerales,Glomerales,0.585,1
SH1181783.08FU_KF849663_reps,Glomerales,Glomerales,0.72,1
SH2610175.08FU_UDB0567859_reps,Glomerales,Glomerales,0.359,1
SH1215358.08FU_JN195582_reps,Glomerales,Glomerales,0.981,1
SH1189681.08FU_FJ362314_reps,Glomerales,Glomerales,0.985,1
SH1182349.08FU_FM876794_refs,Glomerales,Glomerales,0.975,1
SH1189680.08FU_KF836937_reps,Glomerales,Glomerales,0.985,1
SH2609850.08FU_UDB0748366_reps,Glomerales,NA,0.0,0
SH1174315.08FU_FJ554264_reps,Glomerales,Glomerales,0.72,1
SH2603851.08FU_UDB0517941_reps,Glomerales,Glomerales,0.163,1
SH1168491.08FU_MN735724_reps,Glomerales,Glomerales,0.947,1
SH1238408.08FU_EF558810_reps,Glomerales,Glomerales,0.912,1
SH1189515.08FU_UDB0565804_reps,Glomerales,NA,0.0,0
SH2607079.08FU_UDB0623343_reps,Glomerales,NA,0.0,0
SH1176783.08FU_KF849550_reps,Glomerales,Glomerales,0.976,1
SH1176804.08FU_MT765608_reps,Glomerales,Glomerales,0.868,1
SH1153833.08FU_UDB0334885_reps,Glomerales,Glomerales,0.929,1
SH1174360.08FU_FR693717_reps,Glomerales,Glomerales,0.976,1
SH1177688.08FU_JN195569_reps,Glomerales,Glomerales,0.72,1
SH3567319.08FU_MT765689_reps,Glomerales,Glomerales,0.192,1
SH1189647.08FU_FJ009599_reps,Glomerales,Glomerales,0.988,1
SH1174363.08FU_AY896535_reps,Glomerales,Glomerales,0.72,1
SH1189509.08FU_AM992803_reps,Glomerales,Glomerales,0.823,1
SH1153909.08FU_KF060299_reps,Glomerales,Glomerales,0.942,1
SH1174309.08FU_AJ699065_refs,Glomerales,Glomerales,0.899,1
SH1215350.08FU_UDB0624008_reps,Glomerales,Glomerales,0.98,1
SH1215355.08FU_JN195594_reps,Glomerales,Glomerales,0.985,1
SH1174378.08FU_UDB0174627_reps,Glomerales,Glomerales,0.699,1
SH1182639.08FU_AM076601_reps,Glomerales,Glomerales,0.906,1
SH1182568.08FU_UDB0154140_reps,Glomerales,Glomerales,0.988,1
SH1142498.08FU_UDB0200833_reps,Glomerales,NA,0.0,0
SH1189514.08FU_EF989121_reps,Glomerales,Glomerales,0.627,1
SH1160120.08FU_JX042774_reps,Glomerales,Glomerales,0.972,1
SH3568263.08FU_MT985515_reps,Diversisporales,Diversisporales,0.959,1
SH1182289.08FU_KJ850199_reps,Diversisporales,Diversisporales,0.707,1
SH1177015.08FU_FR869691_reps,Diversisporales,Diversisporales,0.593,1
SH1236571.08FU_AM418548_reps,Diversisporales,Diversisporales,0.713,1
SH1184212.08FU_FM876815_reps,Diversisporales,Diversisporales,0.973,1
